ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำของใช้และของเด็กเล่นด้วยพลาสติก,คลองสาน,5301,เจริญรัถ,เจริญรัถ 20, 1.80 ,10100300525207, 7 ,กรุงเทพมหานคร,,115, 142.82 ,3-53(1)-5/20,20,คลองต้นไทร,ศิลป์ฟ้าพลาสติก,71,ศิลป์ฟ้าพลาสติก,3,10600
ผลิตของใช้จากพลาสติก ,คลองสาน,5301,สมเด็จเจ้าพระยา,สมเด็จเจ้าพระยา 7, -   ,10100102325517, 7 ,กรุงเทพมหานคร,,"49,57", 84.31 ,3-53(1)-23/51,51,สมเด็จเจ้าพระยา,นางสาวสุพดี หิรัญตระกูล,72,,3,10600
ทำผลิตภัณฑ์เครื่องใช้จากพลาสติกและแบบพิมพ์พลาสติก,คลองสาน,5301,เจริญรัถ,เจริญรัถ 20, 7.00 ,10100004925315, 23 ,กรุงเทพมหานคร,,66, 424.39 ,3-53(1)-49/31,31,คลองต้นไทร,ทรัพย์สมบูรณ์,73,ทรัพย์สมบูรณ์,3,10600
ทำถุงพลาสติก,คลองสาน,5304,เจริญนคร,, 7.22 ,10100103125346, 11 ,กรุงเทพมหานคร,,597, 215.40 ,3-53(4)-31/34,34,บางลำภูล่าง,ไทยรุ่งกิจ,74,ไทยรุ่งกิจ,3,10600
ทำถุงพลาสติก,คลองสาน,5304,สมเด็จเจ้าพระยา,สมเด็จเจ้าพระยา 12, 3.00 ,10100301025587, 5 ,กรุงเทพมหานคร,,"73,75", 75.64 ,3-53(4)-10/58,58,สมเด็จเจ้าพระยา,บริษัท จตุโชคพลาสติก จำกัด,75,บริษัท จตุโชคพลาสติก จำกัด,3,10600
ทำโต๊ะ เก้าอี้เหล็ก,คลองสาน,6200,เจริญนคร,เจริญนคร 21, 2.50 ,10101000225445, 11 ,กรุงเทพมหานคร,,29, 156.17 ,3-62-2/44,44,บางลำภูล่าง,บริษัท แอพพลายด์ อินโนเทค พลัส จำกัด,76,บริษัท แอพพลายด์ อินโนเทค พลัส จำกัด,3,10600
ทำของใช้เล็กๆด้วยโลหะ เช่น มือจับ รางตู้เหล็ก,คลองสาน,6409,เจริญนคร,เจริญนคร 46, 1.75 ,10100400325524, 4 ,กรุงเทพมหานคร,,61, 123.00 ,3-64(9)-3/52,52,บางลำภูล่าง,ดิลกการช่าง,77,ดิลกการช่าง,3,10600
ทำกิ๊บติดผม,คลองสาน,6409,เจริญรัถ,เจริญรัถ20, 8.10 ,10100100525613, 14 ,กรุงเทพมหานคร,,135-139, 121.24 ,3-64(9)-5/61,61,คลองต้นไทร,กวงเม้ง,78,กวงเม้ง,3,10600
ชุบโลหะ,คลองสาน,6410,เจริญรัถ,, 2.60 ,10100102625254, 15 ,กรุงเทพมหานคร,,308/62-63 และ 16-18, 141.50 ,3-64(10)-26/25,25,คลองต้นไทร,นายศรัณย์ รัตนวยากรณ์,79,,3,10600
รับจ้างกลึง-ไส-กัด เชื่อมโลหะ และซ่อมไดนาโม,คลองสาน,6413,เจริญนคร,เจริญนคร 35, 4.50 ,10100202625394, 20 ,กรุงเทพมหานคร,,16-18-20, 92.00 ,3-64(13)-26/39,39,บางลำภูล่าง,สหการช่าง,80,สหการช่าง,3,10600
ซ่อมอุปกรณ์โรงงานทำน้ำแข็ง,คลองสาน,7000,เจริญนคร,เจริญนคร 31, 30.00 ,10100300825318, 5 ,กรุงเทพมหานคร,,2 และ 4, 264.50 ,3-70-8/31,31,บางลำภูล่าง,โรงกลึงไท้เฮงหลง,81,โรงกลึงไท้เฮงหลง,3,10600
ทำอุปกรณ์วิทยุ เช่น ลูกบิดจากพลาสติก,คลองสาน,7200,เจริญรัก,เจริญรัถ 19, 0.50 ,10100401325473, 6 ,กรุงเทพมหานคร,,"39,41", 110.58 ,3-72-13/47,47,คลองสาน,เม้งพลาสติก,82,เม้งพลาสติก,3,10600
ต่อเรือและซ่อมแซมเรือ,คลองสาน,7501,เจริญนคร,เจริญนคร 27, 4.71 ,10100400425217, 28 ,กรุงเทพมหานคร,,64, 557.33 ,3-75(1)-4/21,21,บางลำภูล่าง,บริษัท หะรินพาณิชย์ จำกัด,83,บริษัท หะรินพาณิชย์ จำกัด,3,10600
ทำเครื่องประดับโดยใช้ ทองคำ ทองขาว เงิน นาก เพชร พลอย ไข่มุก และอัญมณี,คลองสาน,8401,เจริญนคร,เจริญนคร 14, 17.12 ,10101000525430, 199 ,กรุงเทพมหานคร,,33, 129.50 ,3-84(1)-5/43,43,คลองต้นไทร,บริษัท บางกอก คราฟท์ โปรดักชั่นส์ จำกัด,84,บริษัท บางกอก คราฟท์ โปรดักชั่นส์ จำกัด,3,10600
ทำเครื่องประดับจากเงิน ทอง,คลองสาน,8401,กรุงธนบุรี,กรุงธนบุรี 1, 15.00 ,10100900425436, 168 ,กรุงเทพมหานคร,0,45-45/1, 113.02 ,3-84(1)-4/43,43,คลองต้นไทร,นายธนเสฏฐ์ อุดมรัตนะมณี,85,,3,10600
ทำเครื่องประดับจาก เพชร พลอย ทอง เงิน นาก และอัญญมณีต่างๆ,คลองสาน,8401,ลาดหญ้า,, 5.00 ,10100600425421, 201 ,กรุงเทพมหานคร,,285/2, 120.28 ,3-84(1)-4/42,42,สมเด็จเจ้าพระยา,บริษัท ไทเกอร์ จิวเวลรี่ แมนูแฟคทอริ่ง(ประเทศไทย) จำกัด,86,บริษัท ไทเกอร์ จิวเวลรี่ แมนูแฟคทอริ่ง(ประเทศไทย) จำกัด,3,10600
ทำเครื่องประดับจากทอง เงิน นาก เช่น แหวน ต่างหู,คลองสาน,8401,กรุงธนบุรี,, 60.00 ,10100103525354, 90 ,กรุงเทพมหานคร,,150, 81.89 ,3-84(1)-35/35,35,คลองต้นไทร,บริษัท วี แอนด์ พี จิวเวลเลอร์รี่ จำกัด,87,บริษัท วี แอนด์ พี จิวเวลเลอร์รี่ จำกัด,3,10600
ทำเครื่องประดับต่างๆเช่น แหวน ต่างหู สร้อย กำไล เป็นต้น,คลองสาน,8401,กรุงธนบุรี,กรุงธนบุรี 6, 9.50 ,10100600125609, 50 ,กรุงเทพมหานคร,,827-829, 340.99 ,3-84(1)-1/60,60,บางลำภูล่าง,บริษัท เหมรัตน์ จำกัด,88,บริษัท เหมรัตน์ จำกัด,3,10600
พิมพ์สีบนถ้วยแก้ว และขวดแก้ว,คลองสาน,8705,เจริญนคร,เจริญนคร 44, 11.00 ,10100200625123, 17 ,กรุงเทพมหานคร,,8, 443.18 ,3-87(5)-6/12,12,บางลำภูล่าง,ห้างหุ้นส่วนจำกัด เมี้ยงเต็กอุตสาหกรรม,89,ห้างหุ้นส่วนจำกัด เมี้ยงเต็กอุตสาหกรรม,3,10600
ห้องเย็นถนอมอาหารแห้ง เช่น ปลาหมึกแห้ง กุ้งแห้ง ปลาแห้ง,คลองสาน,9200,พญาไม้,, 3.30 ,10101000225304, 4 ,กรุงเทพมหานคร,,"336, 348", 106.00 ,3-92-2/30,30,สมเด็จเจ้าพระยา,บริษัท ยงซุ่นฮวด จำกัด,90,บริษัท ยงซุ่นฮวด จำกัด,3,10600
"ทำห้องเย็นเก็บรักษาสัตว์ เช่น กุ้ง, ปลา",คลองสาน,9200,ท่าดินแดง,, 10.00 ,10101200125148, 16 ,กรุงเทพมหานคร,,452/18, 441.75 ,3-92-1/14,14,คลองสาน,นายบุญชู เอื้อเวชนิชกุล,91,-,3,10600
ห้องเย็นเพื่อเก็บอาหารแห้ง เช่น กุ้ง ปลา (ขนาดความจุ 192.96ตัน),คลองสาน,9200,พญาไม้,, 6.50 ,10100600525303, 4 ,กรุงเทพมหานคร,,"330,328", 94.14 ,3-92-5/30,30,สมเด็จเจ้าพระยา,สินชัย,92,สินชัย,3,10600
ทำห้องเย็นเก็บอาหารแห้ง,คลองสาน,9200,พญาไม้,, 1.15 ,100900125335, 4 ,กรุงเทพมหานคร,,338, 72.00 ,ศ3-92-1/33,33,สมเด็จเจ้าพระยา,นายสุรภัทร์ โรจนวิศาส,93,,3,10600
ศูนย์บริการซ่อมและพ่นสีรถยนต์,คลองสาน,9501,เจริญนคร,, 258.00 ,10100012025603, 27 ,กรุงเทพมหานคร,,670/1, 116.56 ,3-95(1)-120/60,60,บางลำภูล่าง,บริษัท โตโยต้า ธนบุรี จำกัด,94,บริษัท โตโยต้า ธนบุรี จำกัด,3,10600
